Relación;Total;PS;B;H;P;P2;Pacheco
DA NC;14297;3668;2289;1205;4564;2182;389
NC SP;8709;2196;1345;756;2787;1378;247
DP NC;8388;2225;1356;578;2699;1369;161
AQ NC;8362;1824;1207;816;2866;1391;258
SP DA;8104;1972;1230;770;2641;1217;274
VM SP;7715;1965;1165;661;2463;1204;257
NC VM;6107;1547;962;514;1971;948;165
NC CC;5904;1510;998;484;1879;889;144
NC AQ;5548;1280;884;464;1853;901;166
SP DP;4928;1239;766;350;1631;832;110
SP NC;4527;1149;702;373;1433;715;155
VM DA;4092;1020;619;350;1355;645;103
DA AQ;3813;776;523;396;1342;632;144
PP VM;3454;912;543;300;1101;540;58
VM VM;3334;858;480;271;1089;558;78
VM CC;2987;700;429;262;1044;500;52
CC VM;2817;628;395;254;985;499;56
AQ CC;2761;703;513;227;850;410;58
NC PR;2288;740;458;197;581;270;42
AQ SP;2210;508;331;182;748;372;69
