Relación,Total,PS,B,H,P,P2,Pacheco
DA NC,68.88,70.79,73.04,68.33,67.29,65.51,68.92
NC SP,41.96,42.38,42.92,42.87,41.09,41.37,43.76
DP NC,40.41,42.94,43.27,32.78,39.8,41.1,28.53
AQ NC,40.29,35.21,38.52,46.27,42.26,41.76,45.71
SP DA,39.05,38.06,39.25,43.66,38.94,36.54,48.54
VM SP,37.17,37.93,37.18,37.48,36.32,36.15,45.53
NC VM,29.43,29.86,30.7,29.15,29.06,28.46,29.23
NC CC,28.45,29.15,31.85,27.45,27.71,26.69,25.51
NC AQ,26.73,24.71,28.21,26.31,27.32,27.05,29.41
SP DP,23.75,23.92,24.45,19.85,24.05,24.98,19.49
SP NC,21.81,22.18,22.4,21.15,21.13,21.47,27.46
VM DA,19.72,19.69,19.76,19.85,19.98,19.37,18.25
DA AQ,18.37,14.98,16.69,22.46,19.79,18.98,25.51
PP VM,16.64,17.61,17.33,17.01,16.24,16.22,10.28
VM VM,16.07,16.56,15.32,15.37,16.06,16.76,13.82
VM CC,14.39,13.51,13.69,14.86,15.4,15.02,9.22
CC VM,13.58,12.12,12.61,14.41,14.53,14.99,9.93
AQ CC,13.31,13.57,16.37,12.88,12.54,12.31,10.28
NC PR,11.03,14.29,14.62,11.17,8.57,8.11,7.45
AQ SP,10.65,9.81,10.57,10.32,11.03,11.17,12.23
