Relación,Total,PS,B,H,P,P2,Pacheco
SP DA NC,5434,1415,883,492,1702,791,151
SP DP NC,4100,1057,653,274,1341,693,82
DA NC SP,2997,799,468,260,942,449,79
VM DA NC,2960,769,468,255,956,447,65
DA AQ NC,2788,568,381,303,973,461,102
DA NC AQ,2106,489,345,202,699,316,55
DA NC VM,1931,494,331,159,605,289,53
VM SP DA,1764,398,254,159,597,295,61
AQ NC SP,1746,353,242,190,613,295,53
SP AQ NC,1600,362,231,125,563,271,48
SP DA AQ,1578,325,213,185,556,236,63
DA NC CC,1540,381,244,125,502,248,40
VM DP NC,1375,358,210,101,439,239,28
NC VM SP,1363,364,235,117,399,186,62
DP NC VM,1352,349,215,110,448,204,26
AQ NC CC,1275,292,196,108,436,215,28
VM SP DP,1185,305,188,81,383,203,25
AQ CC AQ,1166,308,244,84,331,166,33
DP NC CC,1163,315,214,72,368,176,18
NC SP DA,1162,278,184,103,379,190,28
