Relación,Total,PS,B,H,P,P2,Pacheco
SP DA NC,29.67,25.35,26.76,26.71,24.1,22.87,25.35
SP DP NC,22.39,13.77,19.79,14.88,18.99,20.04,13.77
DA NC SP,16.37,13.27,14.19,14.12,13.34,12.98,13.27
VM DA NC,16.17,10.92,14.19,13.84,13.54,12.93,10.92
DA AQ NC,15.23,17.13,11.55,16.45,13.78,13.33,17.13
DA NC AQ,11.5,9.24,10.46,10.97,9.9,9.14,9.24
DA NC VM,10.55,8.9,10.03,8.63,8.57,8.36,8.9
VM SP DA,9.64,10.25,7.7,8.63,8.46,8.53,10.25
AQ NC SP,9.54,8.9,7.34,10.32,8.68,8.53,8.9
SP AQ NC,8.74,8.06,7,6.79,7.97,7.84,8.06
SP DA AQ,8.62,10.58,6.46,10.05,7.88,6.83,10.58
DA NC CC,8.41,6.72,7.4,6.79,7.11,7.17,6.72
VM DP NC,7.51,4.71,6.37,5.49,6.22,6.91,4.71
NC VM SP,7.45,10.41,7.13,6.35,5.65,5.38,10.41
DP NC VM,7.39,4.37,6.52,5.97,6.35,5.9,4.37
AQ NC CC,6.97,4.71,5.94,5.87,6.18,6.22,4.71
VM SP DP,6.47,4.2,5.7,4.4,5.43,5.87,4.2
AQ CC AQ,6.37,5.54,7.4,4.56,4.69,4.8,5.54
DP NC CC,6.35,3.03,6.49,3.91,5.21,5.09,3.03
NC SP DA,6.35,4.71,5.58,5.59,5.37,5.5,4.71
