Bigrama, Herrera (freq. relat.), P2 (freq. relat.),Pacheco (freq. relat.),Media,SD,Herrera (z-score),P2 (z-score),Pacheco (z-score),P2 vs Herrera,P2 vs Pacheco
DA NC,68.06,65.51,68.92,67.49666667,1.773424183,0.317652899,-1.120243361,0.802590461,1.43789626,1.922833822
NC SP,41.95,41.37,43.76,42.36,1.246635472,-0.328885235,-0.794137518,1.123022753,0.465252283,1.917160272
AQ NC,38.18,41.76,45.71,41.88333333,3.766514746,-0.983225497,-0.032744684,1.015970181,0.950480813,1.048714864
DP NC,39.61,41.1,28.53,36.41333333,6.867694907,0.46546428,0.682422083,-1.147886364,0.216957803,1.830308447
SP DA,37.83,36.54,48.54,40.97,6.58746537,-0.476662847,-0.672489304,1.149152151,0.195826456,1.821641455
VM SP,38.05,36.15,45.53,39.91,4.958911171,-0.375082339,-0.758230965,1.133313303,0.383148626,1.891544268
NC VM,29.4,28.46,29.23,29.03,0.500899191,0.738671586,-1.137953524,0.399281938,1.876625109,1.537235462
NC CC,27.65,26.69,25.51,26.61666667,1.071883078,0.964035494,0.068415422,-1.032450917,0.895620072,1.100866339
NC AQ,23.84,27.05,29.41,26.76666667,2.795788499,-1.046812614,0.101342907,0.945469707,1.148155521,0.8441268
SP DP,22.95,24.98,19.49,22.47333333,2.775866231,0.171718169,0.90302142,-1.074739589,0.731303251,1.97776101
SP NC,21.85,21.47,27.46,23.59333333,3.354017492,-0.51977467,-0.633071634,1.152846303,0.113296964,1.785917937
VM DA,19.44,19.37,18.25,19.02,0.667757441,0.628970902,0.524142418,-1.15311332,0.104828484,1.677255739
DA AQ,16.73,18.98,25.51,20.40666667,4.560551867,-0.806188982,-0.312827638,1.119016619,0.493361344,1.431844257
PP VM,18.19,16.22,10.28,14.89666667,4.117697577,0.799799711,0.32137701,-1.121176721,0.478422702,1.44255373
VM VM,16.78,16.76,13.82,15.78666667,1.703212651,0.583211575,0.571469061,-1.154680636,0.011742515,1.726149697
VM CC,13.47,15.02,9.22,12.57,3.00291525,0.299708758,0.815873841,-1.115582599,0.516165083,1.93145644
CC VM,12.58,14.99,9.93,12.5,2.530948439,0.031608704,0.983820911,-1.015429615,0.952212207,1.999250527
AQ CC,12.74,12.31,10.28,11.77666667,1.313861992,0.733207399,0.405927972,-1.13913537,0.327279427,1.545063342
NC PR,13.64,8.11,7.45,9.733333333,3.399328365,1.14924663,-0.477545315,-0.671701315,1.626791944,0.194156001
RG VM,11.48,10.96,6.03,9.49,3.007706768,0.661633648,0.488744453,-1.150378101,0.172889194,1.639122554
PR VM,12.1,9.16,8.33,9.863333333,1.980967777,1.129077763,-0.355045318,-0.774032446,1.484123081,0.418987128
AQ SP,9.93,11.17,12.23,11.11,1.151173314,-1.025041134,0.052120736,0.972920399,1.07716187,0.920799663
CC SP,10,9.91,10.99,10.3,0.599249531,-0.500626174,-0.650814027,1.151440201,0.150187852,1.802254228
RN VM,10.33,10.12,5.67,8.706666667,2.631925784,0.616785376,0.536995892,-1.153781267,0.079789484,1.690777159
VM NC,10.64,9.19,8.33,9.386666667,1.167490186,1.07352794,-0.168452522,-0.905075417,1.241980462,0.736622895
NC CS,8.01,11.38,8.86,9.416666667,1.752607581,-0.802613592,1.120235559,-0.317621967,1.922849151,1.437857526
CC AQ,8.72,9.79,8.51,9.006666667,0.686464371,-0.417598755,1.141112876,-0.723514121,1.558711631,1.864626998
VM RG,9.71,8.41,5.85,7.99,1.96397556,0.875774646,0.213851948,-1.089626594,0.661922697,1.303478542
CC NC,8.79,8.38,10.99,9.386666667,1.403578759,-0.425103802,-0.717214235,1.142318037,0.292110434,1.859532273
VM CS,8.77,7.78,9.75,8.766666667,0.98500423,0.00338408,-1.001687746,0.998303665,1.005071826,1.999991411
SP AQ,7.4,9.22,9.93,8.85,1.304952106,-1.11115189,0.28353531,0.82761658,1.3946872,0.544081271
VM DP,8.08,8.89,5.32,7.43,1.87165702,0.347285851,0.780057449,-1.127343299,0.432771598,1.907400748
CS VM,6.82,9.97,6.56,7.783333333,1.898165781,-0.507507481,1.151989298,-0.644481818,1.659496779,1.796471116
DI NC,7.29,7.15,8.33,7.59,0.644670458,-0.465354036,-0.682519253,1.14787329,0.217165217,1.830392543
DD NC,7.49,7.27,4.43,6.396666667,1.70673177,0.640600563,0.511699231,-1.152299794,0.128901333,1.663999025
NC RG,6.89,7.63,5.67,6.73,0.989747443,0.161657402,0.909322885,-1.070980287,0.747665483,1.980303172
AQ VM,5.92,8.44,8.15,7.503333333,1.37885218,-1.148298097,0.679308979,0.468989117,1.827607076,0.210319862
P0 VM,6.96,6.97,6.56,6.83,0.233880311,0.555839862,0.598596775,-1.154436637,0.042756912,1.753033412
RG AQ,6.82,6.01,6.03,6.286666667,0.461988456,1.154430001,-0.598860563,-0.555569438,1.753290563,0.043291125
CS SP,6.07,6.61,7.27,6.65,0.600999168,-0.965059572,-0.066555833,1.031615405,0.89850374,1.098171237
SP PP,6.93,5.65,4.97,5.85,0.995188424,1.085221626,-0.200966968,-0.884254658,1.286188594,0.68328769
CC DA,6.12,6.43,6.74,6.43,0.31,-1,0,1,1,1
VM PP,6.93,5.44,2.31,4.893333333,2.358014702,0.863720937,0.231833443,-1.095554379,0.631887494,1.327387822
VM AQ,5.46,6.88,3.73,5.356666667,1.577540279,0.065502818,0.965638312,-1.03114113,0.900135495,1.996779443
SP VM,6.03,4.81,7.45,6.096666667,1.321262023,-0.05045681,-0.97381643,1.02427324,0.92335962,1.99808967
NP VM,5.63,5.11,8.33,6.356666667,1.728621802,-0.420373425,-0.721191105,1.141564529,0.30081768,1.862755634
DP AQ,5.21,6.04,4.97,5.406666667,0.561456439,-0.350279475,1.128018647,-0.777739173,1.478298122,1.90575782
SP DD,5.54,5.59,2.66,4.596666667,1.677388844,0.562382024,0.592190259,-1.154572283,0.029808234,1.746762542
SP NP,5.52,4.18,9.39,6.363333333,2.705445127,-0.311717035,-0.807014458,1.118731493,0.495297423,1.925745952
DA NP,3.67,6.13,11.17,6.99,3.823244695,-0.868372355,-0.224939827,1.093312182,0.643432528,1.318252009
CS DA,4.48,5.32,5.32,5.04,0.484974226,-1.154700538,0.577350269,0.577350269,1.732050808,0
AQ NP,3.56,6.13,7.8,5.83,2.135860482,-1.062803502,0.140458613,0.922344889,1.203262114,0.781886277
RG SP,4.44,4.69,4.26,4.463333333,0.215947524,-0.108050941,1.049637717,-0.941586776,1.157688659,1.991224493
SP DI,4.57,4.3,4.97,4.613333333,0.337095437,-0.128549154,-0.929509271,1.058058425,0.800960116,1.987567696
NC DA,3.8,4.39,6.74,4.976666667,1.555324189,-0.756541096,-0.37719896,1.133740056,0.379342136,1.510939016
NP SP,4.18,3.67,6.21,4.686666667,1.343664145,-0.377078356,-0.756637491,1.133715847,0.379559135,1.890353337
NP AQ,3.01,4.63,6.03,4.556666667,1.511334951,-1.02337782,0.048522224,0.974855595,1.071900044,0.926333371
SP PR,3.93,3.61,3.73,3.756666667,0.161658075,1.072221928,-0.907264709,-0.16495722,1.979486637,0.742307489
NC PP,3.71,4.18,1.78,3.223333333,1.271862152,0.382641048,0.75217795,-1.134818998,0.369536902,1.886996949
CC RG,4.22,3.49,1.25,2.986666667,1.547654139,0.796905008,0.325223395,-1.122128403,0.471681613,1.447351798
NC RN,3.6,3.52,3.37,3.496666667,0.116761866,0.884992138,0.199836934,-1.084829072,0.685155203,1.284666006
AQ CS,3.05,3.88,4.43,3.786666667,0.694718168,-1.060382037,0.134347045,0.926034992,1.194729083,0.791687946
PR SP,3.71,2.59,3.19,3.163333333,0.560475988,0.97536144,-1.022940046,0.047578607,1.998301486,1.070518653
NC AP,3.69,2.68,0.89,2.42,1.417991537,0.89563299,0.183357935,-1.078990925,0.712275055,1.26234886
NP CC,2.48,3.4,5.67,3.85,1.641919608,-0.834389207,-0.274069448,1.108458655,0.560319759,1.382528102
PR PP,3.2,2.5,1.95,2.55,0.626498204,1.03751295,-0.079808688,-0.957704261,1.117321638,0.877895573
NC NC,2.87,2.35,4.97,3.396666667,1.387131332,-0.379680463,-0.754554844,1.134235307,0.374874381,1.888790152
VM NP,2.96,2.53,2.84,2.776666667,0.221885857,0.826250651,-1.111682694,0.285432043,1.937933344,1.397114737
NC NP,2.65,2.71,3.19,2.85,0.295972972,-0.675737378,-0.473016165,1.148753543,0.202721214,1.621769708
PP SP,2.98,2.53,1.07,2.193333333,0.998515565,0.787836158,0.337167169,-1.125003328,0.450668989,1.462170497
CS PP,3.03,2.2,2.13,2.453333333,0.500632933,1.151875214,-0.506026106,-0.645849109,1.65790132,0.139823003
NC DP,2.54,2.74,2.31,2.53,0.215174348,0.046473941,0.975952766,-1.022426707,0.929478825,1.998379473
RG DA,2.54,2.62,3.02,2.726666667,0.25716402,-0.725866186,-0.414780678,1.140646864,0.311085508,1.555427542
CC CS,2.39,2.86,2.84,2.696666667,0.265769324,-1.153882858,0.614568044,0.539314814,1.768450902,0.07525323
SP RG,2.76,2.32,2.84,2.64,0.28,0.428571429,-1.142857143,0.714285714,1.571428571,1.857142857
CC DP,2.45,2.65,1.42,2.173333333,0.660025252,0.419175881,0.722194591,-1.141370472,0.303018709,1.863565062
CC PP,2.96,1.9,1.25,2.036666667,0.863153134,1.069721347,-0.158334207,-0.91138714,1.228055553,0.753052934
VM DI,2.52,2.35,2.13,2.333333333,0.195533458,0.954653328,0.085236904,-1.039890232,0.869416423,1.125127136
AQ DA,2.23,2.71,2.13,2.356666667,0.310053759,-0.408531305,1.139587324,-0.731056019,1.548118629,1.870643344
NC VS,2.3,2.35,3.19,2.613333333,0.500033332,-0.626624893,-0.526631559,1.153256452,0.099993334,1.679888011
NC P0,2.34,2.41,2.31,2.353333333,0.051316014,-0.259827921,1.104268664,-0.844440743,1.364096585,1.948709407
VS AQ,2.37,2.05,2.84,2.42,0.39736633,-0.125828477,-0.931130728,1.056959205,0.805302252,1.988089933
DA VM,2.43,2.02,1.95,2.133333333,0.259293913,1.144132784,-0.437084434,-0.70704835,1.581217219,0.269963915
NP DA,1.77,2.32,5.32,3.136666667,1.910715398,-0.715264381,-0.427414081,1.142678462,0.2878503,1.570092544
CS RG,2.21,2.14,2.31,2.22,0.085440037,-0.117041147,-0.936329178,1.053370325,0.81928803,1.989699502
RG NC,2.23,2.32,0.89,1.813333333,0.800895332,0.520251086,0.632625321,-1.152876407,0.112374235,1.785501728
AQ AQ,2.15,2.26,1.42,1.943333333,0.456544996,0.452675352,0.693615458,-1.14629081,0.240940107,1.839906269
RG RG,2.15,2.32,0.89,1.786666667,0.78117433,0.465111716,0.682732795,-1.147844511,0.217621078,1.830577306
