Relacion; Herrera (freq. relat.); P2 (freq. relat.);Pacheco (freq. relat.);Media;SD;Herrera (z-score);P2 (z-score);Pacheco;P2vsHerrera;P2vsPacheco
SP DA NC;29,89;26,76;30,76;29,13666667;2,103718929;0,358096;-1,129745345;0,771649345;1,487841344;1,901394689
SP DP NC;21,58;23,45;16,71;20,58;3,47949709;0,287397855;0,824831844;-1,112229699;0,537433989;1,937061542
DA NC SP;17,35;15,19;16,09;16,21;1,084988479;1,050702401;-0,940102148;-0,110600253;1,990804549;0,829501895
VM DA NC;16,45;15,13;13,24;14,94;1,613412532;0,935904469;0,117762814;-1,053667283;0,818141655;1,171430097
DA AQ NC;14,17;15,6;20,78;16,85;3,477772275;-0,770608248;-0,359425489;1,130033737;0,411182759;1,489459226
DA NC AQ;10,54;10,7;11,21;10,81666667;0,349904749;-0,790691374;-0,333424073;1,124115447;0,457267301;1,457539521
DA NC VM;10,54;9,78;10,8;10,37333333;0,530031446;0,314446752;-1,119430438;0,804983686;1,43387719;1,924414124
AQ NC SP;8,99;9,98;10,8;9,923333333;0,906329594;-1,029794613;0,062523244;0,967271368;1,092317857;0,904748124
VM SP DA;8,76;9,98;12,43;10,39;1,869037185;-0,872106779;-0,219364282;1,091471061;0,652742497;1,310835343
SP DA AQ;8,11;7,99;12,84;9,646666667;2,766158588;-0,555523705;-0,598905165;1,15442887;0,043381461;1,753334036
SP AQ NC;7,19;9,17;9,78;8,713333333;1,354043328;-1,125025545;0,337261487;0,787764058;1,462287033;0,450502571
DA NC CC;7,61;8,39;8,15;8,05;0,399499687;-1,101377584;0,851064496;0,250313087;1,95244208;0,600751409
VM DP NC;7,91;8,09;5,71;7,236666667;1,32519181;0,508102547;0,64393194;-1,152034487;0,135829394;1,795966427
NC VM SP;7,89;6,3;12,63;8,94;3,293038111;-0,318854494;-0,801691299;1,120545793;0,482836805;1,922237091
DP NC VM;6,94;6,91;5,3;6,383333333;0,938314091;0,59326261;0,561290374;-1,154552984;0,031972236;1,715843357
AQ NC CC;6,56;7,28;5,71;6,516666667;0,785896516;0,055138727;0,971289881;-1,026428608;0,916151154;1,997718489
VM SP DP;6,49;6,87;5,1;6,153333333;0,931790391;0,361311589;0,76912863;-1,130440218;0,407817041;1,899568848
NC SP DP;5,86;6,87;7,34;6,69;0,756240702;-1,097534155;0,238019455;0,859514699;1,33555361;0,621495244
AQ NC VM;5,81;6,23;6,52;6,186666667;0,356978057;-1,055153557;0,121389347;0,933764209;1,176542904;0,812374862
NC SP DA;5,69;6,43;5,71;5,943333333;0,421584313;-0,600907874;1,154375652;-0,553467778;1,755283526;1,70784343
AQ CC AQ;5,86;5,62;6,73;6,07;0,58403767;-0,359565848;-0,770498245;1,130064093;0,410932398;1,900562339
DA NC PR;7,01;4,37;4,08;5,153333333;1,614445209;1,150033867;-0,485202798;-0,664831068;1,635236665;0,17962827
DP NC CC;5,69;5,96;3,67;5,106666667;1,251492442;0,466110153;0,681852566;-1,147962719;0,215742414;1,829815285
VM SP NC;5,71;5,55;5,1;5,453333333;0,316280466;0,811516025;0,305635905;-1,11715193;0,505880119;1,422787836
NC AQ SP;5,26;5,76;6,11;5,71;0,427200187;-1,053370325;0,117041147;0,936329178;1,170411472;0,81928803
NC AQ CC;5,56;5,35;5,91;5,606666667;0,282901632;-0,16495722;-0,907264709;1,072221928;0,742307489;1,979486637
SP NC AQ;4,66;5,76;7,54;5,986666667;1,453318043;-0,912853641;-0,155964944;1,068818585;0,756888697;1,224783528
DP AQ NC;4,99;5,45;4,69;5,043333333;0,382796726;-0,139325469;1,062356701;-0,923031232;1,201682169;1,985387932
CC DA NC;5,01;4,88;5,3;5,063333333;0,215019379;-0,248039659;-0,852636326;1,100675985;0,604596668;1,953312311
VM CC VM;4,48;5,49;4,28;4,75;0,648613907;-0,416272296;1,14089444;-0,724622144;1,557166736;1,865516585
NC CC SP;5,14;4,37;5,3;4,936666667;0,497225636;0,40893574;-1,139656979;0,73072124;1,548592719;1,870378219
DP NC SP;4,73;4,57;5,91;5,07;0,731846979;-0,464577992;-0,68320293;1,147780922;0,218624938;1,830983852
NC PR VM;5,66;3,42;3,06;4,046666667;1,408734657;1,14523578;-0,44484365;-0,70039213;1,59007943;0,25554848
VM VM SP;4,06;5,08;5,1;4,746666667;0,594754851;-1,154537311;0,560455005;0,594082305;1,714992316;0,0336273
SP DD NC;4,71;4,54;2,65;3,966666667;1,143430511;0,650090518;0,501415108;-1,151505626;0,14867541;1,652920735
NC CC VM;4,08;4,98;2,65;3,903333333;1,175003546;0,150354156;0,916309291;-1,066663448;0,765955135;1,982972739
CC AQ NC;4,28;4,37;3,06;3,903333333;0,731733103;0,514759638;0,637755303;-1,152514941;0,122995666;1,790270244
SP NC VM;4,48;3,79;4,49;4,253333333;0,401289588;0,564845622;-1,154610903;0,589765281;1,719456524;1,744376184
CC VM SP;3,83;4,67;4,08;4,193333333;0,431315816;-0,842383515;1,105145345;-0,26276183;1,94752886;1,367907176
DP NC AQ;3,88;4,4;3,67;3,983333333;0,375810236;-0,274961466;1,108715588;-0,833754122;1,383677054;1,942469711
PP VM SP;4,11;3,49;3,06;3,553333333;0,527857304;1,054577937;-0,119981921;-0,934596016;1,174559858;0,814614095
VM DA AQ;3,08;4,5;4,28;3,953333333;0,764286159;-1,142678462;0,715264381;0,427414081;1,857942843;0,2878503
NC CC NC;3,68;3,52;4,49;3,896666667;0,52003205;-0,416640987;-0,724314331;1,140955318;0,307673344;1,865269649
NC VM CC;3,36;4,34;2,25;3,316666667;1,045673627;0,041440591;0,978635501;-1,020076092;0,93719491;1,998711593
CS DA NC;3,66;3,56;3,87;3,696666667;0,158219257;-0,231745916;-0,863780232;1,095526148;0,632034316;1,95930638
SP NC SP;3,36;3,93;3,47;3,586666667;0,302379453;-0,749610017;1,135438703;-0,385828685;1,88504872;1,521267388
NC AQ VM;3,08;4,1;3,47;3,55;0,514684369;-0,913181025;1,068616093;-0,155435068;1,981797118;1,224051161
CC SP DA;3,43;3,25;5,3;3,993333333;1,135179868;-0,496250285;-0,654815465;1,15106575;0,15856518;1,805881215
SP NC CC;3,41;2,75;5,71;3,956666667;1,553876872;-0,351808227;-0,776552305;1,128360532;0,424744078;1,904912837
SP DI NC;3,33;2,88;3,67;3,293333333;0,396274316;0,092528497;-1,043048507;0,95052001;1,135577003;1,993568517
NC VM VM;3,03;3,59;1,63;2,75;1,009554357;0,277350098;0,832050294;-1,109400392;0,554700196;1,941450687
VM NC SP;3,16;3,15;2,65;2,986666667;0,291604755;0,594411889;0,560118895;-1,154530784;0,034292994;1,714649679
NC SP NC;3,36;2,54;3,67;3,19;0,583866423;0,291162487;-1,113268334;0,822105847;1,404430821;1,93537418
NC DA NC;2,66;3,35;4,28;3,43;0,812957563;-0,94715891;-0,098406121;1,045565031;0,84875279;1,143971151
PR VM SP;3,63;2,07;3,06;2,92;0,789366835;0,899455068;-1,076812405;0,177357337;1,976267473;1,254169742
PR PP VM;3,23;2,61;2,25;2,696666667;0,495714972;1,075887079;-0,17483165;-0,901055429;1,25071873;0,726223779
NC PP VM;2,76;3,25;1,63;2,546666667;0,830802825;0,25677974;0,846570705;-1,103350446;0,589790965;1,949921151
SP DP AQ;2,76;2,85;3,26;2,956666667;0,266520793;-0,737903651;-0,40021893;1,138122581;0,337684722;1,538341511
SP DA NP;1,66;3,49;7,95;4,366666667;3,235341301;-0,83659386;-0,270965745;1,107559605;0,565628115;1,37852535
DA NC CS;1,73;4,3;2,25;2,76;1,358786223;-0,75802947;1,13336445;-0,37533498;1,891393919;1,50869943
NC SP NP;2,83;2,27;5,3;3,466666667;1,612213799;-0,394902132;-0,742250604;1,137152737;0,347348472;1,879403341
VM VM DA;2,53;2,61;2,45;2,53;0,08;0;1;-1;1;2
DA AQ NP;1,96;3,22;3,47;2,883333333;0,809341296;-1,140845448;0,415976138;0,72486931;1,556821586;0,308893172
VM SP AQ;2,21;2,71;4,08;3;0,968142551;-0,815995536;-0,299542665;1,115538201;0,516452871;1,415080866
P0 VM SP;2,43;2,75;1,43;2,203333333;0,688573404;0,329183011;0,793911968;-1,123094979;0,464728957;1,917006947
CC SP NC;2,28;2,71;2,45;2,48;0,216564078;-0,923514193;1,062041322;-0,138527129;1,985555515;1,200568451
VM CC SP;2,48;2,47;2,25;2,4;0,13;0,615384615;0,538461538;-1,153846154;0,076923077;1,692307692
AQ NC AQ;2,06;2,71;4,08;2,95;1,03116439;-0,863101954;-0,232746594;1,095848548;0,630355359;1,328595142
NC CS VM;1,43;3,76;1,23;2,14;1,40652053;-0,504791779;1,151778425;-0,646986646;1,656570204;1,798765071
NC RN VM;2,38;2,34;1,84;2,186666667;0,300887576;0,642543424;0,509603405;-1,15214683;0,132940019;1,661750235
VM SP VM;2,48;1,8;3,87;2,716666667;1,055098732;-0,224307602;-0,868797051;1,093104653;0,644489449;1,961901705
AQ CC VM;2,48;2,2;1,23;1,97;0,65597256;0,777471545;0,350624422;-1,128095967;0,426847123;1,478720389
DP NC CS;2,13;2,47;2,04;2,213333333;0,226789183;-0,367448449;1,131741222;-0,764292773;1,499189671;1,896033996
AQ NC PR;2,76;1,73;1,23;1,906666667;0,780149558;1,093807366;-0,226452306;-0,86735506;1,320259672;0,640902753
AQ NC CS;1,93;2,47;3,47;2,623333333;0,781366325;-0,887334546;-0,196237448;1,083571994;0,691097099;1,279809442
RG VM SP;2,31;2,17;2,04;2,173333333;0,135030861;1,012114312;-0,024685715;-0,987428597;1,036800027;0,962742882
CC DP NC;2,21;2,41;1,43;2,016666667;0,517815926;0,37336305;0,759600687;-1,132963737;0,386237638;1,892564424
PP VM CC;2,36;2,27;0,82;1,816666667;0,864310901;0,628631818;0,524502622;-1,15313444;0,104129197;1,677637062
CS VM SP;1,53;3,08;1,43;2,013333333;0,925112606;-0,52245892;1,15301279;-0,63055387;1,675471711;1,78356666
CC NC AQ;2,06;2,17;2,45;2,226666667;0,201080415;-0,828855792;-0,281810969;1,110666761;0,547044823;1,39247773
CS SP DA;2,03;2,27;2,04;2,113333333;0,135769412;-0,61378577;1,153917248;-0,540131478;1,767703018;1,694048726
PP VM VM;2,31;1,97;1,63;1,97;0,34;1;0;-1;1;1
VM SP PP;2,33;1,8;2,25;2,126666667;0,285715476;0,711663701;-1,143328569;0,431664868;1,854992271;1,574993438
RG DA NC;2,18;2,07;1,63;1,96;0,291032644;0,755928946;0,377964473;-1,133893419;0,377964473;1,511857892
NC P0 VM;1,98;2,41;1,23;1,873333333;0,597187854;0,17861493;0,898656365;-1,077271295;0,720041436;1,975927661
CC VM DA;1,98;2,47;0,82;1,756666667;0,847368476;0,26356106;0,841821892;-1,105382952;0,578260832;1,947204844
CS PP VM;2,33;1,73;2,04;2,033333333;0,30005555;0,988705812;-1,01092392;0,022218108;1,999629732;1,033142028
VM CS VM;1,88;2,17;2,25;2,1;0,194679223;-1,130064093;0,359565848;0,770498245;1,489629941;0,410932398
PP VM DA;2,08;2,07;1,23;1,793333333;0,487886599;0,587568233;0,567071666;-1,154639899;0,020496566;1,721711566
